t;x1;x2;x3;x4;x5
-1,0000000;  7,0148948; 14,3319971; 10,79202259;  8,7168844; -3,7260354
-0,8888889;  5,3248244; 13,7055898;  5,98994704;  9,5556046; 23,8490728
-0,7777778;  4,1963088;  7,8903493; -2,98121191;  5,1015828;  7,2017551
-0,6666667;  6,4741504;  3,9676329; -8,63764434;  1,1845907; 20,5560189
-0,5555556; -4,6951255; -1,2474765; 14,37779130; -0,2287192;  2,5282948
-0,4444444;  0,1574812; -2,4132259; -9,21513397; 10,0277171;  6,1820104
-0,3333333; -2,4523178;  6,4167714; 15,56698800;  2,3567996; -6,9662594
-0,2222222; -4,9149664; -0,2011054; -5,69716002;  5,3076412; -5,8478141
-0,1111111;  0,8252045;  6,1513003;  0,02225007; -9,3566944;-16,7734209
 0,0000000; -5,2647148; -6,4533049;  0,15256372; -4,8133895; -1,2418046
 0,1111111;  1,9722953; -1,7644618; -4,55336200;  6,0190950;  8,0328685
 0,2222222; -1,3575452; -2,8264875; -0,51754004; -7,4168458; -6,0764869
 0,3333333; -8,2171619; -7,3135952; -1,24492902;  1,3183717; -0,5144208
 0,4444444;  5,6695155;  2,1063936;  8,88457112;  1,9999860;  3,1332722
 0,5555556;  1,0233851;  0,2152321;-15,45661148;  3,9770286;  8,4737586
 0,6666667;  3,9049872;  1,3595691; -1,31472844;  7,9819079; -6,5297744
 0,7777778; -1,4999332; 20,4766249; -0,32412804; 12,5314296;  1,9800890
 0,8888889;  0,3205383; 22,6860156; 11,51937592;  3,9249610;  3,8228557
 1,0000000;  3,5963458; 13,0815023;  9,25200521;  8,7003843; 10,3691113
 1,1111111;  5,2637651; 10,8737269; 16,94646066; 19,3746682; 18,2004916
 1,2222222;  6,3069641; 16,4932240; 29,75436001; 17,4937651; 20,4943678
 1,3333333;  6,6888059;  6,7576555; 20,18227043; 24,0421011; 24,2780202
 1,4444444; 14,1659410; 19,8974227; 11,35356723; 21,8178791; 17,3976617
 1,5555556;  7,3355263;  6,0091938; 29,39199000; 18,4040708; 20,3643736
 1,6666667;  9,2017109; 23,6221098; 10,83760742; 27,2176846; 17,8993242
 1,7777778; 15,4648852; 17,5360845; 23,16554581; 31,0475745; 20,1244948
 1,8888889;  5,1724886; 29,0186112; 32,03523724; 43,0286464; 34,4006116
 2,0000000; 12,7659599; 38,2028282; 45,75575063; 39,1549441; 35,5801677
 2,1111111; 22,1921469; 37,9331174; 44,36799950; 55,4879331; 26,6964692
 2,2222222; 15,7009257; 41,9691632; 41,85422109; 46,4183615; 39,6467526
 2,3333333; 16,7955544; 40,1193371; 41,04095741; 47,2101959; 43,2134789
 2,4444444; 25,3645509; 54,8140845; 47,82620387; 55,3230407; 59,2568192
 2,5555556; 20,2101829; 52,5687396; 62,53111879; 65,6502138; 49,8209107
 2,6666667; 23,5763277; 58,3138769; 72,84999048; 65,8454484; 60,8830055
 2,7777778; 33,1025618; 50,2961395; 66,62908934; 89,4132401; 67,7103440
